name,price,positive_ratings,negative_ratings,average_playtime,net_ratings
Counter-Strike,7.19,124534,3339,17612,121195
"Team Fortress Classic",3.99,3318,633,277,2685
"Day of Defeat",3.99,3416,398,187,3018
"Deathmatch Classic",3.99,1273,267,258,1006
"Half-Life: Opposing Force",3.99,5250,288,624,4962
Ricochet,3.99,2758,684,175,2074
Half-Life,7.19,27755,1100,1300,26655
"Counter-Strike: Condition Zero",7.19,12120,1439,427,10681
"Half-Life: Blue Shift",3.99,3822,420,361,3402
"Half-Life 2",7.19,67902,2419,691,65483
"Counter-Strike: Source",7.19,76640,3497,6842,73143
"Day of Defeat: Source",7.19,10489,1210,1356,9279
"Half-Life 2: Deathmatch",3.99,6020,787,311,5233
"Half-Life 2: Episode One",5.79,7908,517,281,7391
Portal,7.19,51801,1080,288,50721
"Half-Life 2: Episode Two",5.79,13902,696,354,13206
"Left 4 Dead",7.19,17951,948,897,17003
"Left 4 Dead 2",7.19,251789,8418,1615,243371
"Portal 2",7.19,138220,1891,1102,136329
"Red Orchestra: Ostfront 41-45",3.99,1562,223,232,1339
"Killing Floor",14.99,53710,2649,1328,51061
Darwinia,7.19,472,158,182,314
Uplink,6.99,1602,152,65,1450
DEFCON,7.19,2057,344,80,1713
